dataset,A_mode,core,seeds,row_shared_relative_fro_error_lambda_percent_mean,row_shared_relative_fro_error_lambda_percent_sample_std,row_shared_relative_fro_error_A_log_percent_mean,row_shared_relative_fro_error_A_log_percent_sample_std,best_rank1_energy_ratio_lambda_percent_mean,best_rank1_energy_ratio_lambda_percent_sample_std
HanChuan,shared,block1_spe,10,2.1155569074436575e-14,3.5789035805274915e-15,0.0,0.0,100.0,0.0
HanChuan,shared,block2_spa,10,8.72880432738567e-14,1.1595629798216665e-14,0.0,0.0,100.0,0.0
HanChuan,shared,block2_spe,10,2.4511689361405766e-14,4.166390997957573e-15,0.0,0.0,100.0,0.0
HanChuan,per_channel,block0_spa,10,9.517734606199035,1.0521579093202025,5.254034201253093,0.6208865205229073,99.49850524616596,0.2119699137236769
HanChuan,per_channel,block0_spe,10,6.328128567747283,1.2931947800741106,2.9549503867674205,0.5866062513922248,99.69406478178288,0.10524254792803807
HanChuan,per_channel,block1_spa,10,10.455073169119116,1.9332487806127445,5.285585014021413,1.0145396360425971,99.19873226646472,0.36439521066042047
HanChuan,per_channel,block1_spe,10,5.857823164300644,0.929571531946495,2.75941090476951,0.42441843732243106,99.73783941754459,0.08116276784678957
HanChuan,per_channel,block2_spa,10,10.237240494024139,1.749818783933343,4.861714044149982,0.8452773666907073,99.19738268254306,0.24680367108847234
HanChuan,per_channel,block2_spe,10,6.226657735345231,1.3739750434445772,2.8909835609064527,0.6242932255660222,99.64458481520604,0.14408887613462928
HongHu,shared,block0_spa,10,8.434657101276877e-14,1.270859758583939e-14,0.0,0.0,100.0,0.0
HongHu,shared,block0_spe,10,2.3412596464884107e-14,3.4409296640493466e-15,0.0,0.0,100.0,0.0
HongHu,shared,block1_spa,10,1.0062848465865539e-13,1.5752683081888024e-14,0.0,0.0,100.0,0.0
HongHu,shared,block1_spe,10,2.448070164313687e-14,3.7636603558170485e-15,0.0,0.0,100.0,0.0
HongHu,shared,block2_spa,10,9.374716823583354e-14,2.2594187481002275e-14,0.0,0.0,100.0,0.0
HongHu,shared,block2_spe,10,2.4504069262166265e-14,1.8638937312205494e-15,0.0,0.0,100.0,0.0
HongHu,per_channel,block0_spa,10,10.850864397940335,1.1840969050772168,5.986100807270352,0.7316079708276295,99.47406645842996,0.33829785404755625
HongHu,per_channel,block0_spe,10,6.5503625559180225,1.6466874463915295,2.910444833360696,0.6694392717922395,99.67907263846837,0.12285172359575101
HongHu,per_channel,block1_spa,10,11.320289952240838,2.044612840026085,5.910393992316284,0.8839222258210434,98.94868140881941,0.4950325751076215
HongHu,per_channel,block1_spe,10,7.44895083418985,1.31374970442642,3.5474525288041425,0.6358202787111761,99.5737454668269,0.18237303252039477
HongHu,per_channel,block2_spa,10,10.883345096968373,1.6344151544999321,5.218836563338601,0.7556152746450585,99.12818308304313,0.2468739815849084
HongHu,per_channel,block2_spe,10,7.107349924650556,1.6593337338373888,3.4200697447961557,0.8447351407225323,99.54920870292736,0.20194753901313636
Houston,shared,block0_spa,10,8.347689886555349e-14,1.0820566916381016e-14,0.0,0.0,100.0,0.0
Houston,shared,block0_spe,10,2.2265743455562527e-14,3.2484355455198534e-15,0.0,0.0,100.0,0.0
Houston,shared,block1_spa,10,9.059027315066255e-14,1.7350437248103542e-14,0.0,0.0,100.0,0.0
Houston,shared,block1_spe,10,2.4420713117369492e-14,4.526887027926671e-15,0.0,0.0,100.0,0.0
Houston,shared,block2_spa,10,9.62121405515604e-14,9.962385029037919e-15,0.0,0.0,100.0,0.0
Houston,shared,block2_spe,10,2.3183786702584102e-14,4.836219066712597e-15,0.0,0.0,100.0,0.0
Houston,per_channel,block0_spa,10,8.860775213532152,1.3736913559299417,4.404483374350591,0.4295949352494818,99.46572341050093,0.1775190267421537
Houston,per_channel,block0_spe,10,5.044071600276714,1.5754668658439834,2.3688765087480737,0.7422491720075985,99.8291533979511,0.05601217622193412
Houston,per_channel,block1_spa,10,9.0780950273084,0.5963983674663276,4.529909275217867,0.33850689951555457,99.41807099587889,0.06245744530913754
Houston,per_channel,block1_spe,10,5.201172803440653,1.1433753099414514,2.362891803836471,0.5750511916803953,99.77957269701422,0.10110785496024173
Houston,per_channel,block2_spa,10,9.70450940432182,1.6318497954427673,4.708478857936906,0.6620456789545585,99.2333318404955,0.31251789186498036
Houston,per_channel,block2_spe,10,4.800768647936769,1.079443942862652,2.184213262248441,0.40827304343327964,99.79310228766435,0.10643468960260438
