core,block,branch,A_mode,d_inner,d_state,stored_A_parameter_count,lambda_min,lambda_max,lambda_mean,mean_statewise_channel_cv,max_statewise_channel_cv,row_shared_relative_fro_error_lambda,row_shared_relative_fro_error_A_log,best_rank1_energy_ratio_lambda,dataset,seed
block2_spa,2,spa,per_channel,64,16,1024,0.7830412887123509,20.778476462315616,8.509205132924317,0.06942355045528491,0.09481014956886709,0.07326423716666627,0.03447135281933261,0.9956041286574411,UP,9
block2_spe,2,spe,per_channel,16,16,256,0.8895448841961721,17.260729867472026,8.484111655366348,0.03736050138141307,0.054204581910654054,0.04214369603921308,0.01910523305344917,0.9985317866409645,UP,9
block0_spa,0,spa,shared,64,16,16,0.8411762261425395,15.14679464083134,7.2690714393097995,7.050996432805909e-16,1.4123319127680325e-15,7.472597586261591e-16,0.0,1.0,HanChuan,0
block0_spe,0,spe,shared,16,16,16,0.9383595016399904,16.23581369957519,8.383410971435207,1.8353197991723544e-16,4.664135520363435e-16,2.7984848996589994e-16,0.0,1.0,HanChuan,0
block1_spa,1,spa,shared,64,16,16,0.8301183985761751,15.163983232178792,8.105995189779858,7.993756544924348e-16,1.473438229353957e-15,9.138935076246772e-16,0.0,1.0,HanChuan,0
block1_spe,1,spe,shared,16,16,16,0.9376509749500789,14.086591382302469,8.171236704903183,2.1547607715336394e-16,4.119732917531495e-16,2.2123273374759725e-16,0.0,1.0,HanChuan,0
block2_spa,2,spa,shared,64,16,16,0.8760969402436495,15.873326038889513,8.007856888921179,6.798292702981602e-16,1.3979995291799372e-15,8.358438141644213e-16,0.0,1.0,HanChuan,0
block2_spe,2,spe,shared,16,16,16,0.9947104847770273,16.87985825374645,8.51983966528849,2.1413236404257849e-16,3.8890733177580693e-16,2.312011420905392e-16,0.0,1.0,HanChuan,0
block0_spa,0,spa,shared,64,16,16,0.8549321243224566,14.267112693961352,7.516218347295585,8.452071577250934e-16,1.6615777900613147e-15,8.328915140417823e-16,0.0,1.0,HanChuan,1
block0_spe,0,spe,shared,16,16,16,1.0633846003751237,15.251011870903465,8.515333516365837,1.8651564692944488e-16,3.8007977463081147e-16,2.288140876999612e-16,0.0,1.0,HanChuan,1
block1_spa,1,spa,shared,64,16,16,0.8273155714636673,15.131201954448995,8.292568827796982,7.037681792645147e-16,1.2234404006408358e-15,7.802542986764143e-16,0.0,1.0,HanChuan,1
block1_spe,1,spe,shared,16,16,16,0.9385098411112468,15.60500931038789,8.355975443905935,2.354224728726834e-16,4.3001967623432686e-16,2.5149874948077365e-16,0.0,1.0,HanChuan,1
block2_spa,2,spa,shared,64,16,16,0.95530723712592,16.72382667794029,8.373812010365924,6.800328148114936e-16,1.7799471025477815e-15,9.785877185977881e-16,0.0,1.0,HanChuan,1
block2_spe,2,spe,shared,16,16,16,0.9916311948394819,15.77101785373621,8.510944764489475,1.9044795000352876e-16,3.7609130878894264e-16,2.6425957624810477e-16,0.0,1.0,HanChuan,1
block0_spa,0,spa,shared,64,16,16,0.9317968574103818,15.26331420344684,7.452835560613719,5.754595542485474e-16,1.3904325818502436e-15,5.341362859443842e-16,0.0,1.0,HanChuan,2
block0_spe,0,spe,shared,16,16,16,0.8897160657302203,15.62140682836083,8.322066304916923,2.130315578598354e-16,4.991358782372708e-16,2.6651624535235426e-16,0.0,1.0,HanChuan,2
block1_spa,1,spa,shared,64,16,16,0.7632315995927166,14.45833874883035,7.952840247987915,6.331399980622601e-16,1.3715128786667728e-15,8.357450222985279e-16,0.0,1.0,HanChuan,2
block1_spe,1,spe,shared,16,16,16,1.0226443169356674,15.765754587052728,8.284567025312358,1.5439679855764905e-16,4.493126358778841e-16,1.7292469106847576e-16,0.0,1.0,HanChuan,2
block2_spa,2,spa,shared,64,16,16,0.9391229499145132,16.581377521322242,8.246556683749,6.770289222110019e-16,1.4739086470015994e-15,7.464473203678198e-16,0.0,1.0,HanChuan,2
block2_spe,2,spe,shared,16,16,16,0.9820832731487229,15.78359289099332,8.429212601095175,1.8307763492893694e-16,3.5030391324064856e-16,2.553802995974511e-16,0.0,1.0,HanChuan,2
block0_spa,0,spa,shared,64,16,16,0.8775364801798057,14.17536317753715,7.664529974820557,8.883697273048641e-16,1.7019072144043704e-15,1.1910101990119264e-15,0.0,1.0,HanChuan,3
block0_spe,0,spe,shared,16,16,16,0.8640139844392616,16.899585659880955,8.391588711963418,2.1181168971098787e-16,3.339040560865603e-16,2.2515630284388135e-16,0.0,1.0,HanChuan,3
block1_spa,1,spa,shared,64,16,16,0.8909609685019901,15.718970090238658,7.632389515206288,8.353274783832234e-16,1.6951080406692956e-15,1.0501831773879779e-15,0.0,1.0,HanChuan,3
block1_spe,1,spe,shared,16,16,16,0.9161296977556747,16.246892178616545,8.489117581092795,1.3701194458374347e-16,3.686577891573242e-16,1.8683864783253038e-16,0.0,1.0,HanChuan,3
block2_spa,2,spa,shared,64,16,16,0.8251412169695915,16.15010245334494,8.01019827134982,6.350912505391824e-16,1.548805223031641e-15,8.846216274552372e-16,0.0,1.0,HanChuan,3
block2_spe,2,spe,shared,16,16,16,1.0840315672787308,16.872808851520407,8.504805442976494,1.4389902668673712e-16,2.8837818984758457e-16,1.9822290880440985e-16,0.0,1.0,HanChuan,3
block0_spa,0,spa,shared,64,16,16,0.8981639655923729,13.945383550766062,7.239588856064751,9.002970913362596e-16,1.693347463914597e-15,1.0495900225041853e-15,0.0,1.0,HanChuan,4
block0_spe,0,spe,shared,16,16,16,0.9972349221932205,14.699514618734433,8.244488759629789,1.5925894675135812e-16,3.9007260525725205e-16,2.5911135837833714e-16,0.0,1.0,HanChuan,4
block1_spa,1,spa,shared,64,16,16,0.8580976163854246,14.613904775009825,8.066767455080797,7.624148640685988e-16,1.5388800153922105e-15,9.470792959006994e-16,0.0,1.0,HanChuan,4
block1_spe,1,spe,shared,16,16,16,0.9980472467276813,16.47680367900222,8.476754928628871,2.320881047615061e-16,4.0427243645966253e-16,2.6706659525683456e-16,0.0,1.0,HanChuan,4
block2_spa,2,spa,shared,64,16,16,0.9811453702760569,15.880041154503608,8.364143697663298,7.922301336524749e-16,1.5841813879607796e-15,7.043863172733691e-16,0.0,1.0,HanChuan,4
block2_spe,2,spe,shared,16,16,16,0.9073198777255617,15.353365276818963,8.447048865891645,2.652772641589279e-16,4.62792829421509e-16,3.0011381728973796e-16,0.0,1.0,HanChuan,4
block0_spa,0,spa,shared,64,16,16,0.8814434621101513,13.346799865482943,7.303087311091654,6.657413753789097e-16,1.7610431583966835e-15,8.847273344304625e-16,0.0,1.0,HanChuan,5
block0_spe,0,spe,shared,16,16,16,0.9429867790996557,15.585678288594474,8.10929951625488,2.050407068684451e-16,3.350972979157115e-16,2.3264096026731217e-16,0.0,1.0,HanChuan,5
block1_spa,1,spa,shared,64,16,16,0.8544451307882455,14.556743146193808,7.6572618898918385,9.627089609498745e-16,1.7245210813852333e-15,1.0774828888592103e-15,0.0,1.0,HanChuan,5
block1_spe,1,spe,shared,16,16,16,0.9184934437561659,16.3635155876749,8.451987564357093,1.2867883680398483e-16,3.5246488812183555e-16,1.4753635423540492e-16,0.0,1.0,HanChuan,5
block2_spa,2,spa,shared,64,16,16,0.9484625049339255,16.15671894065474,8.237101653743146,6.995280422215895e-16,1.739814849518483e-15,8.402813296086024e-16,0.0,1.0,HanChuan,5
block2_spe,2,spe,shared,16,16,16,0.9557821342046825,15.553175672396005,8.50949353227876,2.0462998754771626e-16,3.5921189054080525e-16,2.3980259584071155e-16,0.0,1.0,HanChuan,5
block0_spa,0,spa,shared,64,16,16,0.9464331421682667,14.78229859016031,7.827445015051127,7.186291391248097e-16,1.463070542223489e-15,9.336597546927794e-16,0.0,1.0,HanChuan,6
block0_spe,0,spe,shared,16,16,16,0.9542675705336787,18.071256435223347,8.488055806688044,1.130933272161362e-16,4.030684432681754e-16,1.8556767683458096e-16,0.0,1.0,HanChuan,6
block1_spa,1,spa,shared,64,16,16,0.8210769648383205,15.596424702800395,7.7049526163526885,8.70088757334203e-16,1.5989242402255665e-15,1.0405817938993776e-15,0.0,1.0,HanChuan,6
block1_spe,1,spe,shared,16,16,16,1.0340765011543678,16.675805279936874,8.5916631383814,1.8448342031153019e-16,3.824597957300509e-16,2.326885795767652e-16,0.0,1.0,HanChuan,6
block2_spa,2,spa,shared,64,16,16,0.900234569842756,16.848484492742905,8.103101063305376,8.650763079706339e-16,1.6968020770061645e-15,1.085144939640584e-15,0.0,1.0,HanChuan,6
block2_spe,2,spe,shared,16,16,16,1.0038830744456537,16.095894101369595,8.23322246560637,1.390551185637266e-16,3.837716018827245e-16,1.6290643368697893e-16,0.0,1.0,HanChuan,6
block0_spa,0,spa,shared,64,16,16,0.8180523071268627,14.201278489275474,7.445393624362326,8.829229039541263e-16,1.7041191143648898e-15,9.519748870047684e-16,0.0,1.0,HanChuan,7
block0_spe,0,spe,shared,16,16,16,0.8003211455749597,15.729508390478747,7.904939718837218,1.687309315779703e-16,3.957470157415916e-16,1.7767955485306836e-16,0.0,1.0,HanChuan,7
block1_spa,1,spa,shared,64,16,16,0.8508944830145121,16.352490141653885,7.85575545075517,7.86560084400606e-16,1.6149975817168444e-15,9.577854300478513e-16,0.0,1.0,HanChuan,7
