dataset,seed,batch_size,model_kind,backend,scope,clock,median_ms_per_scene,amortized_ms_per_tile,tiles_per_second,p95_ms_per_scene,checkpoint_sha256
HongHu,0,2,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,wall_clock,97542.63480805093,55.10883322488753,18.145911308250906,102660.38643621141,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,2,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,cuda_events,97542.8984375,55.108982168079095,18.145862265248518,102660.696875,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,4,fixed,integer_lut_wide_gpu_reference,model_only,wall_clock,49409.207357035484,27.91480641640423,35.82328263657049,49858.246841980144,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,4,fixed,integer_lut_wide_gpu_reference,model_only,cuda_events,49409.296875,27.914856991525422,35.823217733251745,49858.3015625,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,4,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,wall_clock,50000.756294000894,28.249014855367736,35.39946455194649,51124.035139230546,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,4,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,cuda_events,49998.6328125,28.247815148305083,35.40096799521862,51124.178906249996,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,8,fixed,integer_lut_wide_gpu_reference,model_only,wall_clock,24927.405196998734,14.083279772315668,71.0061872068862,25497.74876459269,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,8,fixed,integer_lut_wide_gpu_reference,model_only,cuda_events,24927.4296875,14.083293608757062,71.00611744529668,25497.373828125,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,8,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,wall_clock,24949.937195982784,14.096009715244511,70.94206234254528,28253.277059993707,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
HongHu,0,8,fixed,integer_lut_wide_gpu_reference,full_gpu_pipeline,cuda_events,24950.001953125,14.096046301200564,70.94187821409395,28253.321484375,5ce51ac37b486b6f3b09015710137842f851f4c5e665a99e357bcf9aef1c5441
